"edible","capshape","capsurface","capcolor","bruises","odor","gillattach","gillspace","gillsize","gillcolor","stalkshape","stalkroot","stalksurfabove","stalksurfbelow","stalkcolorabove","stalkcolorbelow","veiltype","veilcolor","ringnumber","ringtype","sporeprintcol","pop","habitat"
"edible","convex","smooth","y","bruises","almond","free","crowded","narrow","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","bell","smooth","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","urban"
"edible","convex","scaly","y","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","convex","scaly","n","bruises","anise","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","paths"
"edible","bell","scaly","y","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","convex","fibrous","y","bruises","anise","free","crowded","narrow","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","sunken","fibrous","g","no","none","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban"
"poisonous","convex","scaly","n","bruises","pungent","free","close","narrow","white","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","urban"
"edible","convex","fibrous","y","bruises","almond","free","crowded","narrow","pink","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","bell","smooth","y","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","bell","scaly","y","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","scaly","y","bruises","anise","free","close","broad","brown","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths"
"edible","convex","fibrous","n","no","none","free","close","narrow","gray","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","urban"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses"
"edible","convex","smooth","y","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"edible","convex","scaly","w","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","convex","scaly","y","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","convex","smooth","w","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","convex","scaly","y","bruises","anise","free","close","broad","brown","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","paths"
"edible","flat","scaly","y","bruises","anise","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","paths"
"edible","convex","scaly","n","bruises","almond","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","smooth","w","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","bell","smooth","w","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"poisonous","convex","scaly","n","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"poisonous","convex","smooth","w","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban"
"edible","bell","scaly","y","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","flat","fibrous","g","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","bell","smooth","w","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","convex","smooth","y","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","convex","scaly","n","bruises","almond","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths"
"edible","sunken","fibrous","g","no","none","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","bell","scaly","y","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","bell","smooth","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","bell","scaly","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","bell","scaly","w","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","flat","smooth","n","no","none","free","crowded","broad","black","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","convex","smooth","w","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","flat","scaly","y","bruises","almond","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","scaly","y","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","convex","fibrous","g","no","none","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","flat","fibrous","y","bruises","anise","free","crowded","narrow","pink","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","bell","scaly","w","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","flat","fibrous","y","bruises","anise","free","crowded","narrow","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","convex","scaly","n","bruises","almond","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","paths"
"edible","bell","smooth","y","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","flat","smooth","y","bruises","anise","free","crowded","narrow","pink","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","convex","smooth","w","bruises","anise","free","crowded","narrow","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods"
"edible","flat","scaly","n","bruises","anise","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","paths"
"poisonous","convex","scaly","n","bruises","pungent","free","close","narrow","white","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","flat","scaly","n","bruises","almond","free","close","broad","brown","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","grasses"
"edible","convex","smooth","n","no","none","free","crowded","broad","black","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","white","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","flat","fibrous","g","no","none","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban"
"edible","convex","fibrous","g","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","scaly","y","bruises","anise","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","smooth","n","no","none","free","crowded","broad","black","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","bell","smooth","w","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","smooth","w","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","flat","scaly","n","bruises","anise","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","grasses"
"edible","sunken","fibrous","n","no","none","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","convex","fibrous","n","no","none","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban"
"edible","bell","smooth","w","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","scaly","y","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","scaly","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"edible","convex","smooth","n","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","smooth","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","flat","scaly","n","bruises","anise","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","smooth","y","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","bell","smooth","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","scaly","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","fibrous","n","no","none","free","crowded","broad","pink","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","bell","smooth","y","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","flat","scaly","y","bruises","anise","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","scaly","y","bruises","almond","free","close","broad","brown","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths"
"edible","bell","scaly","w","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","convex","scaly","y","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"edible","convex","scaly","y","bruises","almond","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","grasses"
"edible","bell","scaly","w","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","bell","scaly","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","convex","smooth","y","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"edible","convex","smooth","y","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","sunken","fibrous","g","no","none","free","close","narrow","gray","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","urban"
"edible","convex","fibrous","w","bruises","almond","free","crowded","narrow","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods"
"edible","convex","smooth","y","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","convex","scaly","y","bruises","anise","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","sunken","fibrous","g","no","none","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban"
"edible","convex","scaly","y","bruises","anise","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","grasses"
"edible","convex","smooth","y","bruises","anise","free","crowded","narrow","pink","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods"
"edible","sunken","fibrous","n","no","none","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban"
"poisonous","convex","smooth","w","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses"
"edible","convex","scaly","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"poisonous","flat","scaly","n","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses"
"edible","flat","smooth","g","no","none","free","crowded","broad","black","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","smooth","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","convex","smooth","w","no","none","free","crowded","broad","brown","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","bell","smooth","y","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","flat","fibrous","g","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","smooth","w","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","bell","smooth","w","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","bell","smooth","w","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","bell","scaly","w","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","flat","smooth","w","bruises","anise","free","crowded","narrow","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods"
"edible","convex","scaly","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","flat","smooth","w","bruises","almond","free","crowded","narrow","pink","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","white","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","flat","fibrous","w","bruises","anise","free","crowded","narrow","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","convex","scaly","y","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"poisonous","convex","smooth","n","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses"
"edible","bell","smooth","y","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","convex","scaly","n","bruises","almond","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths"
"edible","bell","scaly","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"edible","sunken","fibrous","n","no","none","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","flat","scaly","n","bruises","almond","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths"
"edible","convex","scaly","y","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","flat","fibrous","w","no","none","free","crowded","broad","black","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","scaly","y","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","bell","smooth","y","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","bell","scaly","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"edible","convex","scaly","w","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","smooth","n","no","none","free","crowded","broad","pink","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","scaly","w","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","sunken","fibrous","n","no","none","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban"
"edible","convex","smooth","w","bruises","almond","free","crowded","narrow","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods"
"edible","convex","scaly","n","bruises","anise","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","bell","scaly","y","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","convex","scaly","w","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","bell","scaly","w","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","bell","smooth","y","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","bell","smooth","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","bell","scaly","y","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","convex","fibrous","n","no","none","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban"
"edible","flat","scaly","n","bruises","anise","free","close","broad","brown","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","grasses"
"edible","convex","scaly","w","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","flat","scaly","y","bruises","anise","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","paths"
"edible","bell","smooth","w","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","bell","smooth","w","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","convex","scaly","n","bruises","anise","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","grasses"
"edible","bell","smooth","w","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","fibrous","g","no","none","free","close","narrow","gray","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban"
"edible","bell","smooth","y","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","fibrous","y","bruises","anise","free","crowded","narrow","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods"
"edible","bell","scaly","y","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","flat","scaly","y","bruises","anise","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","bell","scaly","w","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"edible","bell","scaly","w","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"edible","bell","scaly","y","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","scaly","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","bell","smooth","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","sunken","fibrous","n","no","none","free","close","narrow","gray","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban"
"edible","flat","fibrous","n","no","none","free","close","narrow","gray","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban"
"edible","convex","smooth","y","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","flat","scaly","n","bruises","almond","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","paths"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","bell","smooth","w","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","flat","fibrous","g","no","none","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban"
"edible","bell","scaly","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","convex","scaly","n","bruises","almond","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","solitary","paths"
"edible","convex","fibrous","w","no","none","free","crowded","broad","pink","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","smooth","w","bruises","anise","free","crowded","narrow","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","bell","smooth","w","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","flat","smooth","y","bruises","almond","free","crowded","narrow","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","convex","smooth","y","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","flat","fibrous","g","no","none","free","close","narrow","gray","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","urban"
"edible","bell","smooth","y","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","smooth","w","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
